"uf","idh","idhr","idhl","idhe","gini","idoso","jovem","homem","rural","pardo","desemprego","planosaude","leito","leitosus","incidencia","mortalidade"
"AC","0.663","0.671","0.777","0.559","0.6394","0.104","0.320","0.5021","0.274","0.66290","0.135","0.056","0.90","0.71","3.798","0.079"
"AL","0.631","0.641","0.755","0.520","0.6343","0.144","0.286","0.4845","0.264","0.60180","0.165","0.115","1.45","0.86","2.779","0.069"
"AM","0.674","0.677","0.805","0.561","0.6664","0.098","0.322","0.5032","0.209","0.68880","0.145","0.147","1.24","0.79","4.091","0.113"
"AP","0.708","0.694","0.813","0.629","0.6157","0.088","0.327","0.5006","0.102","0.65230","0.172","0.087","1.03","0.33","6.485","0.091"
"BA","0.660","0.663","0.783","0.555","0.6278","0.160","0.253","0.4907","0.279","0.59160","0.187","0.109","1.32","0.64","2.547","0.054"
"CE","0.682","0.651","0.793","0.615","0.6193","0.157","0.247","0.4874","0.249","0.61880","0.121","0.144","1.33","0.76","3.149","0.103"
"DF","0.824","0.863","0.873","0.742","0.6370","0.135","0.235","0.4781","0.034","0.48240","0.136","0.346","3.39","0.89","7.282","0.126"
"ES","0.740","0.743","0.835","0.653","0.5723","0.163","0.237","0.4925","0.166","0.48620","0.111","0.313","2.72","1.19","4.310","0.100"
"GO","0.735","0.742","0.827","0.646","0.5588","0.147","0.247","0.4966","0.097","0.50010","0.113","0.179","2.08","1.11","3.812","0.087"
"MA","0.639","0.612","0.757","0.562","0.6291","0.132","0.307","0.4961","0.369","0.66520","0.161","0.071","1.12","0.59","2.678","0.059"
"MG","0.731","0.730","0.838","0.638","0.5634","0.176","0.223","0.4920","0.147","0.44280","0.115","0.260","2.06","1.30","1.842","0.045"
"MS","0.729","0.740","0.833","0.629","0.5650","0.151","0.260","0.4981","0.144","0.43590","0.076","0.239","1.78","0.94","3.218","0.061"
"MT","0.725","0.732","0.821","0.635","0.5652","0.122","0.270","0.5105","0.182","0.52410","0.085","0.191","2.62","0.89","4.343","0.114"
"PA","0.646","0.646","0.789","0.528","0.6260","0.117","0.298","0.5041","0.315","0.69520","0.106","0.100","1.18","0.57","3.035","0.079"
"PB","0.658","0.656","0.783","0.555","0.6139","0.148","0.260","0.4844","0.246","0.52740","0.138","0.110","1.51","0.94","3.500","0.080"
"PE","0.673","0.673","0.789","0.574","0.6366","0.165","0.240","0.4810","0.198","0.55300","0.145","0.149","1.96","1.09","1.808","0.092"
"PI","0.646","0.635","0.777","0.547","0.6193","0.165","0.266","0.4901","0.342","0.64020","0.137","0.107","1.10","0.56","3.716","0.078"
"PR","0.749","0.757","0.830","0.668","0.5416","0.167","0.237","0.4913","0.147","0.25090","0.079","0.270","2.52","1.54","2.173","0.051"
"RJ","0.761","0.782","0.835","0.675","0.6116","0.215","0.195","0.4769","0.033","0.39330","0.145","0.327","3.79","0.97","1.936","0.126"
"RN","0.684","0.678","0.792","0.597","0.6074","0.149","0.252","0.4889","0.222","0.52480","0.154","0.159","1.71","0.94","2.394","0.075"
"RO","0.690","0.712","0.800","0.577","0.5686","0.117","0.269","0.5089","0.265","0.55630","0.084","0.096","1.63","1.01","4.254","0.084"
"RR","0.707","0.695","0.809","0.628","0.6398","0.082","0.327","0.5080","0.234","0.61250","0.165","0.063","0.92","0.57","9.796","0.115"
"RS","0.746","0.769","0.840","0.642","0.5472","0.209","0.208","0.4867","0.149","0.10570","0.083","0.231","2.10","1.33","2.563","0.056"
"SC","0.774","0.773","0.860","0.697","0.4942","0.169","0.219","0.4962","0.160","0.12410","0.057","0.227","1.58","1.03","4.352","0.047"
"SE","0.665","0.672","0.781","0.560","0.6288","0.122","0.265","0.4860","0.265","0.61390","0.155","0.147","1.48","1.01","3.733","0.098"
"SP","0.783","0.789","0.845","0.719","0.5768","0.172","0.222","0.4866","0.041","0.29110","0.122","0.410","2.63","1.19","2.586","0.089"
"TO","0.699","0.690","0.793","0.624","0.6099","0.142","0.280","0.5077","0.212","0.63130","0.112","0.078","1.43","0.86","4.957","0.072"
