"uf","idh","idhR","idhL","idhE","gini","DP","idoso","jovem","homem","rural","branco","pardo","preto","amarelo","indigena","renda","desemprego","plano","infantil","expectativa","leito","leitosus","casos","obitos","","",""
"AC","0.663","0.671","0.777","0.559","0.6394","4.47","0.104","0.320","0.5021","0.274","0.23850","0.66290","0.00580","0.01890","0.02170","890","0.135","0.056","17.40","71.68","0.90","0.71","33976","710","","",""
"AL","0.631","0.641","0.755","0.520","0.6343","112.33","0.144","0.286","0.4845","0.264","0.31610","0.60180","0.06570","0.01180","0.00460","731","0.165","0.115","16.95","69.18","1.45","0.86","93123","2308","","",""
"AM","0.674","0.677","0.805","0.561","0.6664","2.23","0.098","0.322","0.5032","0.209","0.21240","0.68880","0.04130","0.00910","0.04840","842","0.145","0.147","15.88","70.37","1.24","0.79","172128","4741","","",""
"AP","0.708","0.694","0.813","0.629","0.6157","4.69","0.088","0.327","0.5006","0.102","0.23970","0.65230","0.08710","0.00990","0.01110","880","0.172","0.087","19.12","72.13","1.03","0.33","55885","785","","",""
"BA","0.660","0.663","0.783","0.555","0.6278","24.82","0.160","0.253","0.4907","0.279","0.22190","0.59160","0.17100","0.01130","0.00400","913","0.187","0.109","17.97","71.92","1.32","0.64","380294","8038","","",""
"CE","0.682","0.651","0.793","0.615","0.6193","56.76","0.157","0.247","0.4874","0.249","0.32000","0.61880","0.04650","0.01250","0.00230","942","0.121","0.144","13.13","72.40","1.33","0.76","289314","9467","","",""
"DF","0.824","0.863","0.873","0.742","0.6370","444.07","0.135","0.235","0.4781","0.034","0.42190","0.48240","0.07710","0.01620","0.00240","2686","0.136","0.346","12.63","76.34","3.39","0.89","222282","3852","","",""
"ES","0.740","0.743","0.835","0.653","0.5723","76.25","0.163","0.237","0.4925","0.166","0.42150","0.48620","0.08350","0.00620","0.00260","1477","0.111","0.313","11.90","75.93","2.72","1.19","175172","4080","","",""
"GO","0.735","0.742","0.827","0.646","0.5588","17.65","0.147","0.247","0.4966","0.097","0.41680","0.50010","0.06530","0.01640","0.00140","1306","0.113","0.179","12.75","73.13","2.08","1.11","271258","6159","","",""
"MA","0.639","0.612","0.757","0.562","0.6291","19.81","0.132","0.307","0.4961","0.369","0.22130","0.66520","0.96900","0.01130","0.00540","636","0.161","0.071","15.56","68.75","1.12","0.59","190953","4218","","",""
"MG","0.731","0.730","0.838","0.638","0.5634","33.41","0.176","0.223","0.4920","0.147","0.45390","0.44280","0.09220","0.00950","0.00160","1358","0.115","0.260","13.08","75.51","2.06","1.30","393110","9688","","",""
"MS","0.729","0.740","0.833","0.629","0.5650","6.86","0.151","0.260","0.4981","0.144","0.47290","0.43590","0.04900","0.01220","0.02990","1514","0.076","0.239","15.72","73.80","1.78","0.94","90765","1713","","",""
"MT","0.725","0.732","0.821","0.635","0.5652","3.36","0.122","0.270","0.5105","0.182","0.37470","0.52410","0.07570","0.01140","0.01400","1403","0.085","0.191","15.10","72.64","2.62","0.89","153800","4025","","",""
"PA","0.646","0.646","0.789","0.528","0.6260","52.40","0.117","0.298","0.5041","0.315","0.21810","0.69520","0.07240","0.00910","0.00520","807","0.106","0.100","18.00","70.87","1.18","0.57","264810","6855","","",""
"PB","0.658","0.656","0.783","0.555","0.6139","66.70","0.148","0.260","0.4844","0.246","0.39800","0.52740","0.05650","0.01290","0.00510","929","0.138","0.110","14.48","71.24","1.51","0.94","141615","3236","","",""
"PE","0.673","0.673","0.789","0.574","0.6366","89.63","0.165","0.240","0.4810","0.198","0.36670","0.55300","0.06490","0.00930","0.00610","970","0.145","0.149","15.25","71.13","1.96","1.09","174312","8899","","",""
"PI","0.646","0.635","0.777","0.547","0.6193","12.40","0.165","0.266","0.4901","0.342","0.24350","0.64020","0.09390","0.21400","0.00090","827","0.137","0.107","16.85","69.92","1.10","0.56","122007","2568","","",""
"PR","0.749","0.757","0.830","0.668","0.5416","6.07","0.167","0.237","0.4913","0.147","0.70320","0.25090","0.03170","0.01180","0.00250","1621","0.079","0.270","12.10","75.15","2.52","1.54","250898","5832","","",""
"RJ","0.761","0.782","0.835","0.675","0.6116","365.23","0.215","0.195","0.4769","0.033","0.47420","0.39330","0.12370","0.00770","0.00100","1882","0.145","0.327","13.96","74.20","3.79","0.97","336915","21938","","",""
"RN","0.684","0.678","0.792","0.597","0.6074","59.99","0.149","0.252","0.4889","0.222","0.41150","0.52480","0.05240","0.00400","0.00080","1057","0.154","0.159","13.38","74.10","1.71","0.94","84865","2657","","",""
"RO","0.690","0.712","0.800","0.577","0.5686","6.58","0.117","0.269","0.5089","0.265","0.35320","0.55630","0.06850","0.01420","0.00770","1136","0.084","0.096","18.54","70.11","1.63","1.01","76729","1515","","",""
"RR","0.707","0.695","0.809","0.628","0.6398","2.01","0.082","0.327","0.5080","0.234","0.20920","0.61250","0.58500","0.00960","0.11020","1044","0.165","0.063","12.94","69.49","0.92","0.57","61553","720","","",""
"RS","0.746","0.769","0.840","0.642","0.5472","39.79","0.209","0.208","0.4867","0.149","0.83220","0.10570","0.05570","0.00330","0.00310","1843","0.083","0.231","11.20","76.01","2.10","1.33","293221","6447","","",""
"SC","0.774","0.773","0.860","0.697","0.4942","65.29","0.169","0.219","0.4962","0.160","0.83970","0.12410","0.02940","0.00420","0.00260","1769","0.057","0.227","10.50","76.93","1.58","1.03","317052","3435","","",""
"SE","0.665","0.672","0.781","0.560","0.6288","94.35","0.122","0.265","0.4860","0.265","0.28210","0.61390","0.08900","0.01240","0.00250","980","0.155","0.147","14.99","71.02","1.48","1.01","86847","2274","","",""
"SP","0.783","0.789","0.845","0.719","0.5768","166.25","0.172","0.222","0.4866","0.041","0.63910","0.29110","0.05520","0.01350","0.00100","1946","0.122","0.410","11.91","76.1","2.63","1.19","1200348","41179","","",""
"TO","0.699","0.690","0.793","0.624","0.6099","4.98","0.142","0.280","0.5077","0.212","0.24960","0.63130","0.09120","0.01850","0.00950","1056","0.112","0.078","13.31","71.56","1.43","0.86","79158","1147","","",""
